     1→  1918→Task ID: AUDIT-5-i18n
   235→  2152→ISSUE: Phone placeholder `+880 1XXX-XXXXXX` and email placeholder `you@company.com` are the same in both EN and BN branches — but the BN branch (line 212-220) doesn't localize the company placeholder. Actually on inspection, line 220 IS localized (`placeholder={isBn ? 'কোম্পানির নাম' : 'Company name'}`). So this is fine — withdrawal. NOT an issue.
   236→  2153→
   237→  2154→[I18N-027] [SEVERITY: P2] [TYPE: SEO]
   238→  2155→FILE: src/app/layout.tsx:85-88 (alternates.languages)
   239→  2156→LINE: 85-88 `languages: { 'en': 'https://nextgendigitalstudio.com', 'bn': 'https://nextgendigitalstudio.com' }`
   240→  2157→ISSUE: Both EN and BN alternates point to the SAME URL (root domain). Search engines see this as a single page with two language labels, not two distinct language versions. Since the site is a client-side toggle (no /en/ or /bn/ path prefix, no separate URLs), the hreflang implementation is technically incorrect.
   241→  2158→EVIDENCE: layout.tsx:85-88 both entries point to `https://nextgendigitalstudio.com` with no path difference.
   242→  2159→FIX: Either remove the `languages` map (single-language-declared site is fine), OR implement proper i18n routing with `/en/` and `/bn/` path prefixes (substantial refactor — Next.js 16 has built-in i18n routing). Lower priority — current setup doesn't break anything, just doesn't gain SEO benefit from hreflang.
   243→  2160→
   244→  2161→[I18N-028] [SEVERITY: P2] [TYPE: A11y]
   245→  2162→FILE: src/components/site/language-toggle.tsx:12
   246→  2163→LINE: 12 `aria-label={lang === 'en' ? 'Switch to Bangla' : 'Switch to English'}`
   247→  2164→ISSUE: aria-label is hardcoded English in both cases. Screen readers will announce "Switch to Bangla" in English even on BN pages.
   248→  2165→EVIDENCE: language-toggle.tsx:12 raw English strings.
   249→  2166→FIX: Add `'lang.ariaSwitchToBn': 'Switch to Bangla'` and `'lang.ariaSwitchToEn': 'Switch to English'` (or BN equivalents: 'বাংলায় স্যুইচ করুন' / 'ইংরেজিতে স্যুইচ করুন'). Use `t('lang.ariaSwitchTo' + (lang === 'en' ? 'Bn' : 'En'))`.
   250→  2167→
   251→  2168→[I18N-029] [SEVERITY: P2] [TYPE: Mismatch]
   252→  2169→FILE: src/lib/site-data.ts:814-817 (guarantees) + contentBn dictionary
   253→  2170→LINE: 813 `'30-Day ROI Promise'` — but `hero.trust1` (EN:31) says `'60-day ROI guarantee'`
   254→  2171→ISSUE: Two different guarantee periods in the data: 30-day (guarantees array) vs 60-day (hero trust badge + pricing.starterF6 etc.). Marketing inconsistency.
   255→  2172→EVIDENCE: site-data.ts:813 `'30-Day ROI Promise'`. language-provider.tsx:257 `'hero.trust1': '60-day ROI guarantee'`, line 362 `'pricing.starterF6': '60-day ROI guarantee'`. PRICING_PLANS features all say '60-day ROI guarantee' (site-data.ts:151, 167, 183).
   256→  2173→FIX: Standardize on 60-day (matches hero, pricing, FAQ). Update `guarantees[0].title` from '30-Day ROI Promise' to '60-Day ROI Promise' and `desc` from 'first month' to 'first 60 days'.
   257→  2174→
   258→  2175→[I18N-030] [SEVERITY: P2] [TYPE: SEO]
   259→  2176→FILE: src/app/layout.tsx:140-142
   260→  2177→LINE: 141 `google: "google-site-verification=YOUR_GOOGLE_VERIFICATION_CODE"`
   261→  2178→ISSUE: Google Search Console verification code is a placeholder (`YOUR_GOOGLE_VERIFICATION_CODE`). Search engines will see this as an unverified site.
   262→  2179→EVIDENCE: layout.tsx:141 raw placeholder string.
   263→  2180→FIX: Replace with the actual verification code from Google Search Console (founder needs to provide). OR remove the `verification` field entirely until the real code is available — a placeholder is worse than no code (it might confuse crawlers).
   264→  2181→
   265→  2182→[I18N-031] [SEVERITY: P2] [TYPE: SEO]
   266→  2183→FILE: src/app/layout.tsx:119-124 (openGraph.images)
   267→  2184→LINE: 119 `url: "/logo.jpg"`, 121 `width: 1200`, 122 `height: 630`
   268→  2185→ISSUE: OG image points to `/logo.jpg` (a 1024x1024 SQUARE JPEG). OG images should be 1200x630 LANDSCAPE. The declared width/height (1200x630) don't match the actual image dimensions (1024x1024). Social media previews may crop or distort the logo.
   269→  2186→EVIDENCE: `file /home/z/my-project/public/logo.jpg` → `JPEG image data, ... 1024x1024`. layout.tsx:121-122 declares 1200x630.
   270→  2187→FIX: Generate a dedicated 1200x630 OG image (e.g. `og-image.jpg` with the logo + brand text on a branded background). Update layout.tsx:119 to point to `/og-image.jpg`. Same for Twitter card image (line 132).
   271→  2188→
   272→  2189→[I18N-032] [SEVERITY: P2] [TYPE: Numeral]
   273→  2190→FILE: src/lib/site-data.ts:717-730 (stats + statsNumeric)
   274→  2191→LINE: 718 `{ value: '120+', label: 'Businesses Automated' }`, 725-730 numeric versions
   275→  2192→ISSUE: Stats data has hardcoded Western digits ('120+', '2.4M+', '7.2x', '38%'). The `by-the-numbers` section component (sections/by-the-numbers.tsx) would need to convert these via bn() helper for BN mode. Currently by-the-numbers section is orphan (not imported on homepage), but if activated it would show English digits.
   276→  2193→EVIDENCE: site-data.ts:717-730 raw Western digit strings. No `valueBn`/`labelBn` fields.
   277→  2194→FIX: Add `valueBn`/`labelBn` fields OR ensure the rendering component applies `bn()` to the value string. Currently a non-issue since section is orphan — flag for future activation.
   278→  2195→
   279→  2196→=== VERIFICATION ===
   280→  2197→1. `curl -s -o /dev/null -w "%{http_code}" http://localhost:3000/robots.txt` → **500** (CRITICAL — I18N-001)
   281→  2198→2. `curl -s -o /dev/null -w "%{http_code}" http://localhost:3000/sitemap.xml` → 200 (but missing 13 URLs — LAYOUT-002)
   282→  2199→3. `curl -s -o /dev/null -w "%{http_code}" http://localhost:3000/manifest.webmanifest` → 200 (but PNG icons missing — FONTS-003)
   283→  2200→4. `curl -s http://localhost:3000/_next/static/chunks/[root-of-the-server]__f5d9dba9._.css | grep '@font-face'` → 72 @font-face declarations (Sora/Inter/Jakarta from next/font + NextGen Bangla + NextGen Display). Font cascade CORRECT: "NextGen Bangla" listed first in --font-sans, --font-heading, body, h1-h6. unicode-range properly scopes Bengali to U+0980-09FF.
   284→  2201→5. `curl -sI http://localhost:3000/` → `link: </fonts/MahfujLipi.ttf>; rel=preload; as="font", </fonts/ForzonDEMO-Italic.ttf>; rel=preload; as="font"` — both fonts correctly preloaded.
   285→  2202→6. `curl -s http://localhost:3000/fonts/MahfujLipi.ttf | wc -c` → 303168 bytes (non-empty, valid TTF)
   286→  2203→7. `curl -s http://localhost:3000/fonts/ForzonDEMO-Italic.ttf | wc -c` → 14656 bytes (non-empty, valid TTF)
   287→  2204→8. Python script verified EN and BN dictionaries: 525 keys each, 0 duplicates within each, 0 keys present in one but missing from the other. Symmetric.
   288→  2205→9. Cross-reference of 342 real t() keys vs 525 dictionary keys → 20 missing (faq.title + 19 in 4 orphan sections).
   289→  2206→10. All 8 main routes return HTTP 200: /, /blog, /case-studies, /founder, /3d-portrait, /privacy, /terms, /admin, /services/ai-sales-automation.
   290→  2207→
   291→  2208→=== FIXES NOT APPLIED ===
   292→  2209→This is an AUDIT-only task. No code changes were made. All 32 findings are documented above with concrete FIX recommendations for the implementation agent.
   293→  2210→
   294→  2211→=== NOTES / OUT OF SCOPE ===
   295→  2212→- The 4 orphan section files (aspirational-vision, competitor-fomo, system-toolkit, numbers) should probably be DELETED entirely — they're dead code that adds 19 missing translation keys. If the founder wants these sections live on the homepage, the keys need to be added AND the sections need to be imported in page.tsx.
   296→  2213→- The /blog and /case-studies index pages (I18N-020) are the biggest i18n gap — both are 100% English with no t() calls. Converting them to client components with full BN support is a substantial refactor (~300 lines).
   297→  2214→- The service landing pages (I18N-019) have a silent BN bug: 47 feature bullet strings are missing from contentBn. In BN mode, all 12 service pages show English feature lists. Adding ~50 translation entries to contentBn is the fix.
   298→  2215→- Premium fonts are CONFIRMED CORRECT — MahfujLipi (Bengali) renders first via unicode-range, Sora/Inter/Jakarta (English) as fallback. Both @font-face declarations are in the compiled CSS. font-display: swap on both. No tofu. The only font-related concerns are minor: MahfujLipi single-weight (FONTS-001) and ForzonDEMO single-weight (FONTS-002) — both acceptable trade-offs.
   299→  2216→- Analytics pixels (GA4, FB, Snapchat, TikTok) are correctly initialized in analytics-pixels.tsx with `strategy="afterInteractive"`. GA4 ID is hardcoded as fallback (`G-QF7TJBHR7Z`) but can be overridden via NEXT_PUBLIC_GA4_ID env var. FB/Snap/TikTok pixels only render if their env vars are set (NEXT_PUBLIC_FB_PIXEL_ID etc.) — currently none are set, so only GA4 fires. Acceptable.
   300→  2217→
   301→
   302→[showing lines 1918-2217 of 3422; use offset=2218 with limit to continue reading]
